"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"20","16","file:/D:/d_2018_002/data/02/cosas_practicas_TORRES.doc","D:\d_2018_002\data\02\cosas_practicas_TORRES.doc","cosas_practicas_TORRES.doc","Container","Done","22528","File","doc","2001-10-16T17:26:14","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
"22","16","file:/D:/d_2018_002/data/02/practical_TOLO.doc","D:\d_2018_002\data\02\practical_TOLO.doc","practical_TOLO.doc","Container","Done","22016","File","doc","2001-10-09T19:22:24","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
"26","16","file:/D:/d_2018_002/data/02/travel_expense_form_TRIALOG.doc","D:\d_2018_002\data\02\travel_expense_form_TRIALOG.doc","travel_expense_form_TRIALOG.doc","Container","Done","30208","File","doc","2001-10-12T15:12:24","false",,"1","fmt/40","application/msword","Microsoft Word Document","97-2003"
"25","2","file:/D:/d_2018_002/data/03/","D:\d_2018_002\data\03","03",,"Done","","Folder",,"2018-10-09T12:21:44","false",,"",,"","",""
"28","25","file:/D:/d_2018_002/data/03/INHOUD","D:\d_2018_002\data\03\INHOUD","INHOUD","Signature","Done","53853","File","","1993-04-20T16:52:22","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"27","25","file:/D:/d_2018_002/data/03/REVH.01","D:\d_2018_002\data\03\REVH.01","REVH.01","Signature","Done","51497","File","01","1993-04-20T16:40:16","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"30","25","file:/D:/d_2018_002/data/03/REVH.02","D:\d_2018_002\data\03\REVH.02","REVH.02","Signature","Done","94244","File","02","1993-04-20T16:40:24","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"31","25","file:/D:/d_2018_002/data/03/REVH.03","D:\d_2018_002\data\03\REVH.03","REVH.03","Signature","Done","66820","File","03","1993-04-20T16:40:28","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"32","25","file:/D:/d_2018_002/data/03/REVH.04","D:\d_2018_002\data\03\REVH.04","REVH.04","Signature","Done","65064","File","04","1993-04-20T16:40:32","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"33","25","file:/D:/d_2018_002/data/03/REVH.05","D:\d_2018_002\data\03\REVH.05","REVH.05","Signature","Done","85837","File","05","1993-04-20T16:40:38","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"34","25","file:/D:/d_2018_002/data/03/REVH.06","D:\d_2018_002\data\03\REVH.06","REVH.06","Signature","Done","112459","File","06","1993-04-20T16:40:48","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"35","25","file:/D:/d_2018_002/data/03/REVH.07","D:\d_2018_002\data\03\REVH.07","REVH.07","Signature","Done","133331","File","07","1993-04-20T16:41:02","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"36","25","file:/D:/d_2018_002/data/03/REVH.08","D:\d_2018_002\data\03\REVH.08","REVH.08","Signature","Done","102665","File","08","1993-04-20T16:41:10","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"37","25","file:/D:/d_2018_002/data/03/REVH.09","D:\d_2018_002\data\03\REVH.09","REVH.09","Signature","Done","87943","File","09","1993-04-20T16:41:16","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"38","25","file:/D:/d_2018_002/data/03/REVH.10","D:\d_2018_002\data\03\REVH.10","REVH.10","Signature","Done","70844","File","10","1993-04-20T16:41:20","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"39","25","file:/D:/d_2018_002/data/03/REVH.11","D:\d_2018_002\data\03\REVH.11","REVH.11","Signature","Done","108358","File","11","1993-04-20T16:41:30","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"40","25","file:/D:/d_2018_002/data/03/REVH.12","D:\d_2018_002\data\03\REVH.12","REVH.12","Signature","Done","112516","File","12","1993-04-20T16:41:40","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"41","25","file:/D:/d_2018_002/data/03/REVH.13","D:\d_2018_002\data\03\REVH.13","REVH.13","Signature","Done","73000","File","13","1993-04-20T16:41:46","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"42","25","file:/D:/d_2018_002/data/03/RIO","D:\d_2018_002\data\03\RIO","RIO","Signature","Done","57232","File","","1993-04-20T16:40:14","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"44","25","file:/D:/d_2018_002/data/03/VOORWRD","D:\d_2018_002\data\03\VOORWRD","VOORWRD","Signature","Done","51392","File","","1993-04-20T16:40:10","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"43","2","file:/D:/d_2018_002/data/04/","D:\d_2018_002\data\04","04",,"Done","","Folder",,"2018-10-09T12:23:22","false",,"",,"","",""
"45","43","file:/D:/d_2018_002/data/04/REVH.14","D:\d_2018_002\data\04\REVH.14","REVH.14","Signature","Done","151611","File","14","1993-04-20T16:42:02","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"46","43","file:/D:/d_2018_002/data/04/REVH.15","D:\d_2018_002\data\04\REVH.15","REVH.15","Signature","Done","75627","File","15","1993-04-20T16:42:06","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"47","43","file:/D:/d_2018_002/data/04/REVH.16","D:\d_2018_002\data\04\REVH.16","REVH.16","Signature","Done","108813","File","16","1993-04-20T16:42:16","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
"48","43","file:/D:/d_2018_002/data/04/REVH.17","D:\d_2018_002\data\04\REVH.17","REVH.17","Signature","Done","169791","File","17","1993-04-20T16:42:38","true",,"1","x-fmt/394","application/vnd.wordperfect","WordPerfect for MS-DOS/Windows Document","5.1"
